n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available
50,0.500000,0.800000,3.000000,0,150,50,835,1283,GRASP-PR heuristic,12,12.000000,1,0,0.002616,12,30.000000,1
50,0.500000,0.800000,3.000000,1,144,50,896,1458,GRASP-PR heuristic,11,10.000000,0,1435735,15.014076,11,30.000000,1
50,0.500000,0.800000,3.000000,2,150,49,823,1094,GRASP-PR heuristic,4,4.000000,1,0,0.001266,4,30.000000,1
50,0.500000,0.800000,3.000000,3,150,49,911,1251,GRASP-PR heuristic,6,6.000000,1,196,0.003315,7,30.000000,1
50,0.500000,0.800000,3.000000,4,138,49,754,1265,GRASP-PR heuristic,14,14.000000,1,0,0.001293,14,30.000000,1
50,0.500000,0.800000,3.000000,5,150,50,594,1391,GRASP-PR heuristic,7,7.000000,1,0,0.001379,7,30.000000,1
50,0.500000,0.800000,3.000000,6,150,50,727,1359,GRASP-PR heuristic,8,8.000000,1,0,0.001327,8,30.000000,1
50,0.500000,0.800000,3.000000,7,144,49,772,1256,GRASP-PR heuristic,10,10.000000,1,0,0.001254,10,30.000000,1
50,0.500000,0.800000,3.000000,8,147,49,776,1291,GRASP-PR heuristic,10,10.000000,1,0,0.001271,10,30.000000,1
50,0.500000,0.800000,3.000000,9,147,50,866,1268,GRASP-PR heuristic,18,18.000000,1,530,0.008200,19,30.000000,1
50,0.500000,0.800000,5.000000,0,245,50,936,1165,GRASP-PR heuristic,5,4.000000,0,1060734,15.000394,6,30.000000,1
50,0.500000,0.800000,5.000000,1,250,49,752,1279,GRASP-PR heuristic,8,8.000000,1,0,0.001320,8,30.000000,1
50,0.500000,0.800000,5.000000,2,245,50,722,1225,GRASP-PR heuristic,8,6.000000,0,980978,15.005975,8,30.000000,1
50,0.500000,0.800000,5.000000,3,240,49,843,1310,GRASP-PR heuristic,6,6.000000,1,0,0.001443,6,30.000000,1
50,0.500000,0.800000,5.000000,4,250,50,863,1130,GRASP-PR heuristic,11,10.000000,0,557442,15.025036,11,30.000000,1
50,0.500000,0.800000,5.000000,5,235,50,805,1238,GRASP-PR heuristic,7,5.000000,0,1014271,15.005974,7,30.000000,1
50,0.500000,0.800000,5.000000,6,250,50,793,1308,GRASP-PR heuristic,11,11.000000,1,0,0.001353,11,30.000000,1
50,0.500000,0.800000,5.000000,7,250,50,920,1233,GRASP-PR heuristic,8,8.000000,1,0,0.001317,8,30.000000,1
50,0.500000,0.800000,5.000000,8,245,50,800,1332,GRASP-PR heuristic,12,11.000000,0,630962,15.039584,12,30.000000,1
50,0.500000,0.800000,5.000000,9,250,49,704,1368,GRASP-PR heuristic,8,8.000000,1,0,0.001437,8,30.000000,1
50,0.600000,0.800000,3.000000,0,144,49,798,1448,GRASP-PR heuristic,23,23.000000,1,0,0.001467,23,30.000000,1
50,0.600000,0.800000,3.000000,1,147,48,924,1448,GRASP-PR heuristic,27,27.000000,1,36333,0.588074,28,30.000000,1
50,0.600000,0.800000,3.000000,2,150,49,844,1311,GRASP-PR heuristic,49,49.000000,1,0,0.001335,49,30.000000,1
50,0.600000,0.800000,3.000000,3,147,48,881,1188,GRASP-PR heuristic,35,30.000000,0,800079,15.012534,37,30.000000,1
50,0.600000,0.800000,3.000000,4,144,50,883,1223,GRASP-PR heuristic,10,10.000000,1,0,0.001331,10,30.000000,1
50,0.600000,0.800000,3.000000,5,147,49,801,1318,GRASP-PR heuristic,47,47.000000,1,361,0.005352,49,30.000000,1
50,0.600000,0.800000,3.000000,6,150,49,833,1062,GRASP-PR heuristic,28,21.000000,0,645453,15.018578,30,30.000000,1
50,0.600000,0.800000,3.000000,7,144,49,904,1158,GRASP-PR heuristic,19,17.000000,0,1235062,15.001671,19,30.000000,1
50,0.600000,0.800000,3.000000,8,144,50,798,1326,GRASP-PR heuristic,35,29.000000,0,928988,15.017924,38,30.000000,1
50,0.600000,0.800000,3.000000,9,150,49,747,1205,GRASP-PR heuristic,16,16.000000,1,2965,0.059932,17,30.000000,1
50,0.600000,0.800000,5.000000,0,250,50,872,1187,GRASP-PR heuristic,24,20.000000,0,448653,15.015337,26,30.000000,1
50,0.600000,0.800000,5.000000,1,230,47,827,1142,GRASP-PR heuristic,17,15.000000,0,462711,15.018138,17,30.000000,1
50,0.600000,0.800000,5.000000,2,250,49,868,1352,GRASP-PR heuristic,20,15.000000,0,457293,15.023759,20,30.000000,1
50,0.600000,0.800000,5.000000,3,250,49,878,1343,GRASP-PR heuristic,20,18.000000,0,565974,15.004867,20,30.000000,1
50,0.600000,0.800000,5.000000,4,250,48,825,1181,GRASP-PR heuristic,17,15.000000,0,511301,15.018189,17,30.000000,1
50,0.600000,0.800000,5.000000,5,250,50,779,1450,GRASP-PR heuristic,17,16.000000,0,653674,15.029949,18,30.000000,1
50,0.600000,0.800000,5.000000,6,250,50,753,1353,GRASP-PR heuristic,32,27.000000,0,684797,15.025499,33,30.000000,1
50,0.600000,0.800000,5.000000,7,250,50,765,1280,GRASP-PR heuristic,26,20.000000,0,537799,15.011439,27,30.000000,1
50,0.600000,0.800000,5.000000,8,250,48,886,1381,GRASP-PR heuristic,34,30.000000,0,527067,15.046881,35,30.000000,1
50,0.600000,0.800000,5.000000,9,250,49,863,1148,GRASP-PR heuristic,20,19.000000,0,390973,15.007035,20,30.000000,1
100,0.500000,0.800000,3.000000,0,147,96,1697,2758,GRASP-PR heuristic,12,12.000000,1,67183,1.567335,13,30.000000,1
100,0.500000,0.800000,3.000000,1,150,98,1509,2626,GRASP-PR heuristic,13,12.000000,0,606655,15.002338,13,30.000000,1
100,0.500000,0.800000,3.000000,2,150,98,1471,2515,GRASP-PR heuristic,13,13.000000,1,0,0.009281,13,30.000000,1
100,0.500000,0.800000,3.000000,3,150,96,1614,2609,GRASP-PR heuristic,11,10.000000,0,621584,15.008982,12,30.000000,1
100,0.500000,0.800000,3.000000,4,147,99,1613,2707,GRASP-PR heuristic,18,17.000000,0,626604,15.054256,18,30.000000,1
100,0.500000,0.800000,3.000000,5,150,97,1657,2640,GRASP-PR heuristic,13,13.000000,1,0,0.009559,13,30.000000,1
100,0.500000,0.800000,3.000000,6,150,95,1592,2800,GRASP-PR heuristic,11,11.000000,1,361,0.018414,12,30.000000,1
100,0.500000,0.800000,3.000000,7,144,96,1567,2528,GRASP-PR heuristic,14,13.000000,0,627608,15.018054,14,30.000000,1
100,0.500000,0.800000,3.000000,8,150,95,1463,2599,GRASP-PR heuristic,9,8.000000,0,627498,15.024604,9,30.000000,1
100,0.500000,0.800000,3.000000,9,150,96,1579,2458,GRASP-PR heuristic,12,12.000000,1,484,0.021225,13,30.000000,1
100,0.500000,0.800000,5.000000,0,250,92,1572,2518,GRASP-PR heuristic,18,16.000000,0,426203,15.027881,19,30.000000,1
100,0.500000,0.800000,5.000000,1,250,99,1476,2590,GRASP-PR heuristic,13,13.000000,1,983,0.036225,14,30.000000,1
100,0.500000,0.800000,5.000000,2,250,95,1675,2710,GRASP-PR heuristic,15,15.000000,1,0,0.009914,15,30.000000,1
100,0.500000,0.800000,5.000000,3,250,93,1451,2857,GRASP-PR heuristic,11,11.000000,1,2366,0.071648,12,30.000000,1
100,0.500000,0.800000,5.000000,4,250,97,1731,2663,GRASP-PR heuristic,23,22.000000,0,448867,15.027811,24,30.000000,1
100,0.500000,0.800000,5.000000,5,250,95,1612,2505,GRASP-PR heuristic,17,16.000000,0,377097,15.037632,19,30.000000,1
100,0.500000,0.800000,5.000000,6,245,96,1689,2726,GRASP-PR heuristic,21,21.000000,1,0,0.010092,21,30.000000,1
100,0.500000,0.800000,5.000000,7,250,97,1621,2408,GRASP-PR heuristic,10,10.000000,1,361,0.019431,11,30.000000,1
100,0.500000,0.800000,5.000000,8,250,100,1523,2538,GRASP-PR heuristic,15,15.000000,1,0,0.009302,15,30.000000,1
100,0.500000,0.800000,5.000000,9,250,100,1580,2702,GRASP-PR heuristic,14,12.000000,0,498219,15.023519,14,30.000000,1
100,0.600000,0.800000,3.000000,0,150,94,1787,2516,GRASP-PR heuristic,30,29.000000,0,290571,15.138450,31,30.000000,1
100,0.600000,0.800000,3.000000,1,150,93,1635,2508,GRASP-PR heuristic,36,35.000000,0,309693,15.081377,38,30.000000,1
100,0.600000,0.800000,3.000000,2,150,96,1673,2248,GRASP-PR heuristic,20,18.000000,0,335320,15.026392,21,30.000000,1
100,0.600000,0.800000,3.000000,3,147,98,1654,2600,GRASP-PR heuristic,26,25.000000,0,527804,15.010413,26,30.000000,1
100,0.600000,0.800000,3.000000,4,150,96,1686,2757,GRASP-PR heuristic,42,38.000000,0,292703,15.063866,42,30.000000,1
100,0.600000,0.800000,3.000000,5,150,99,1684,2522,GRASP-PR heuristic,19,19.000000,1,729,0.032302,20,30.000000,1
100,0.600000,0.800000,3.000000,6,150,95,1632,2642,GRASP-PR heuristic,40,36.000000,0,308194,15.018330,40,30.000000,1
100,0.600000,0.800000,3.000000,7,150,99,1602,2595,GRASP-PR heuristic,23,22.000000,0,413199,15.012716,23,30.000000,1
100,0.600000,0.800000,3.000000,8,147,97,1632,2657,GRASP-PR heuristic,32,32.000000,1,2640,0.106490,33,30.000000,1
100,0.600000,0.800000,3.000000,9,150,96,1571,2626,GRASP-PR heuristic,25,24.000000,0,458674,15.066985,26,30.000000,1
100,0.600000,0.800000,5.000000,1,250,97,1709,2600,GRASP-PR heuristic,35,33.000000,0,267885,15.035993,36,30.000000,1
100,0.600000,0.800000,5.000000,2,250,98,1586,2616,GRASP-PR heuristic,35,34.000000,0,207349,15.078960,35,30.000000,1
100,0.600000,0.800000,5.000000,3,250,94,1559,2572,GRASP-PR heuristic,24,24.000000,1,0,0.009574,24,30.000000,1
100,0.600000,0.800000,5.000000,4,250,96,1524,2534,GRASP-PR heuristic,29,27.000000,0,182370,15.013400,30,30.000000,1
100,0.600000,0.800000,5.000000,5,250,95,1666,2874,GRASP-PR heuristic,33,32.000000,0,382069,15.085254,33,30.000000,1
100,0.600000,0.800000,5.000000,6,245,96,1681,2739,GRASP-PR heuristic,26,26.000000,1,0,0.010124,26,30.000000,1
100,0.600000,0.800000,5.000000,7,250,98,1656,2625,GRASP-PR heuristic,41,40.000000,0,148197,16.612265,41,30.000000,1
100,0.600000,0.800000,5.000000,8,250,94,1591,2582,GRASP-PR heuristic,49,46.000000,0,185635,15.039581,49,30.000000,1
100,0.600000,0.800000,5.000000,9,250,91,1682,2600,GRASP-PR heuristic,33,30.000000,0,195869,15.004895,34,30.000000,1
100,0.600000,0.800000,5.000000,10,250,98,1535,2464,GRASP-PR heuristic,24,23.000000,0,211929,15.044289,25,30.000000,1
200,0.500000,0.800000,3.000000,0,150,191,3124,5137,GRASP-PR heuristic,31,31.000000,1,0,0.079450,31,30.000000,1
200,0.500000,0.800000,3.000000,1,150,184,3365,5471,GRASP-PR heuristic,29,29.000000,1,29893,1.860452,30,30.000000,1
200,0.500000,0.800000,3.000000,2,150,188,3186,5393,GRASP-PR heuristic,31,30.000000,0,252378,15.278888,31,30.000000,1
200,0.500000,0.800000,3.000000,3,150,191,3178,5097,GRASP-PR heuristic,21,20.000000,0,244388,15.006017,21,30.000000,1
200,0.500000,0.800000,3.000000,4,150,186,3306,5420,GRASP-PR heuristic,19,17.000000,0,245070,15.078774,21,30.000000,1
200,0.500000,0.800000,3.000000,5,150,187,3155,4988,GRASP-PR heuristic,24,22.000000,0,310080,19.402529,24,30.000000,1
200,0.500000,0.800000,3.000000,6,150,189,3222,5193,GRASP-PR heuristic,27,27.000000,1,1444,0.166858,28,30.000000,1
200,0.500000,0.800000,3.000000,7,150,185,3124,4989,GRASP-PR heuristic,22,22.000000,1,1148,0.147930,23,30.000000,1
200,0.500000,0.800000,3.000000,8,150,185,3435,4964,GRASP-PR heuristic,18,18.000000,1,0,0.076153,18,30.000000,1
200,0.500000,0.800000,3.000000,9,150,189,3190,4924,GRASP-PR heuristic,21,21.000000,1,5268,0.401285,22,30.000000,1
200,0.500000,0.800000,5.000000,0,250,185,3279,5143,GRASP-PR heuristic,26,24.000000,0,216362,15.195636,26,30.000000,1
200,0.500000,0.800000,5.000000,1,250,184,3119,5626,GRASP-PR heuristic,25,25.000000,1,0,0.086647,25,30.000000,1
200,0.500000,0.800000,5.000000,2,250,186,3263,5259,GRASP-PR heuristic,24,23.000000,0,218572,15.108768,24,30.000000,1
200,0.500000,0.800000,5.000000,3,250,186,3159,4945,GRASP-PR heuristic,41,39.000000,0,182653,15.049462,41,30.000000,1
200,0.500000,0.800000,5.000000,4,250,182,3166,5053,GRASP-PR heuristic,27,27.000000,1,0,0.073814,27,30.000000,1
200,0.500000,0.800000,5.000000,5,250,187,3130,5433,GRASP-PR heuristic,23,23.000000,1,1156,0.155529,24,30.000000,1
200,0.500000,0.800000,5.000000,6,250,188,3298,5030,GRASP-PR heuristic,25,24.000000,0,214513,15.158629,25,30.000000,1
200,0.500000,0.800000,5.000000,7,245,189,3315,5025,GRASP-PR heuristic,27,27.000000,1,0,0.078811,27,30.000000,1
200,0.500000,0.800000,5.000000,8,250,187,3312,5113,GRASP-PR heuristic,30,30.000000,1,1600,0.204860,31,30.000000,1
200,0.500000,0.800000,5.000000,9,250,196,3216,4895,GRASP-PR heuristic,20,20.000000,1,961,0.141239,21,30.000000,1
200,0.600000,0.800000,3.000000,0,150,186,3313,5260,GRASP-PR heuristic,47,47.000000,1,0,0.078560,47,30.000000,1
200,0.600000,0.800000,3.000000,1,150,188,3212,5400,GRASP-PR heuristic,67,67.000000,1,53972,5.102914,70,30.000000,1
200,0.600000,0.800000,3.000000,2,150,189,3193,5123,GRASP-PR heuristic,58,55.000000,0,213535,24.211769,59,30.000000,1
200,0.600000,0.800000,3.000000,3,150,188,3229,4904,GRASP-PR heuristic,52,52.000000,1,0,0.072177,52,30.000000,1
200,0.600000,0.800000,3.000000,4,150,188,3422,5354,GRASP-PR heuristic,47,47.000000,1,14498,1.550765,49,30.000000,1
200,0.600000,0.800000,3.000000,5,150,190,3216,5184,GRASP-PR heuristic,63,63.000000,1,0,0.077563,63,30.000000,1
200,0.600000,0.800000,3.000000,6,150,190,3017,5117,GRASP-PR heuristic,77,76.000000,0,125716,15.328782,77,30.000000,1
200,0.600000,0.800000,3.000000,7,150,186,3089,5116,GRASP-PR heuristic,61,56.000000,0,229737,25.971692,62,30.000000,1
200,0.600000,0.800000,3.000000,8,150,188,3193,5134,GRASP-PR heuristic,57,55.000000,0,134236,16.851840,58,30.000000,1
200,0.600000,0.800000,3.000000,9,150,189,3139,5407,GRASP-PR heuristic,69,68.000000,0,162039,16.068172,69,30.000000,1
200,0.600000,0.800000,5.000000,0,250,189,3318,5243,GRASP-PR heuristic,56,55.000000,0,147884,19.370571,57,30.000000,1
200,0.600000,0.800000,5.000000,1,250,188,3200,5228,GRASP-PR heuristic,57,57.000000,1,0,0.076416,57,30.000000,1
200,0.600000,0.800000,5.000000,2,250,184,3270,5004,GRASP-PR heuristic,69,63.000000,0,155521,30.000187,69,30.000000,1
200,0.600000,0.800000,5.000000,3,250,185,3248,4973,GRASP-PR heuristic,70,69.000000,0,86637,30.000283,71,30.000000,1
200,0.600000,0.800000,5.000000,4,250,189,3016,5005,GRASP-PR heuristic,55,54.000000,0,143756,23.992884,55,30.000000,1
200,0.600000,0.800000,5.000000,5,250,190,3317,5215,GRASP-PR heuristic,67,64.000000,0,104428,15.245608,67,30.000000,1
200,0.600000,0.800000,5.000000,6,250,187,3441,5041,GRASP-PR heuristic,52,52.000000,1,0,0.075957,52,30.000000,1
200,0.600000,0.800000,5.000000,7,250,192,3157,5134,GRASP-PR heuristic,65,62.000000,0,105471,30.000169,66,30.000000,1
200,0.600000,0.800000,5.000000,8,250,188,3145,5378,GRASP-PR heuristic,70,68.000000,0,174083,19.701778,71,30.000000,1
200,0.600000,0.800000,5.000000,9,250,183,3464,5366,GRASP-PR heuristic,53,52.000000,0,163505,30.000229,54,30.000000,1
