n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available
50,0.500000,0.800000,3.000000,0,150,50,835,1283,Strengthened CPLEX MILP,12,12.000000,1,450,0.647941,50,600.000000,1
50,0.500000,0.800000,3.000000,1,144,50,896,1458,Strengthened CPLEX MILP,11,11.000000,1,10522,13.130123,50,600.000000,1
50,0.500000,0.800000,3.000000,2,150,49,823,1094,Strengthened CPLEX MILP,4,4.000000,1,749,2.320009,50,600.000000,1
50,0.500000,0.800000,3.000000,3,150,49,911,1251,Strengthened CPLEX MILP,6,6.000000,1,6291,6.018050,50,600.000000,1
50,0.500000,0.800000,3.000000,4,138,49,754,1265,Strengthened CPLEX MILP,14,14.000000,1,741,2.653671,50,600.000000,1
50,0.500000,0.800000,3.000000,5,150,50,594,1391,Strengthened CPLEX MILP,7,7.000000,1,1944,4.117444,50,600.000000,1
50,0.500000,0.800000,3.000000,6,150,50,727,1359,Strengthened CPLEX MILP,8,8.000000,1,2283,2.058388,50,600.000000,1
50,0.500000,0.800000,3.000000,7,144,49,772,1256,Strengthened CPLEX MILP,10,10.000000,1,1000,1.236032,50,600.000000,1
50,0.500000,0.800000,3.000000,8,147,49,776,1291,Strengthened CPLEX MILP,10,10.000000,1,4066,3.759636,50,600.000000,1
50,0.500000,0.800000,3.000000,9,147,50,866,1268,Strengthened CPLEX MILP,18,18.000000,1,111538,63.774924,50,600.000000,1
50,0.500000,0.800000,5.000000,0,245,50,936,1165,Strengthened CPLEX MILP,5,5.000000,1,12503,33.982771,50,600.000000,1
50,0.500000,0.800000,5.000000,1,250,49,752,1279,Strengthened CPLEX MILP,8,8.000000,1,400,0.733137,50,600.000000,1
50,0.500000,0.800000,5.000000,2,245,50,722,1225,Strengthened CPLEX MILP,7,7.000000,1,82435,174.612101,50,600.000000,1
50,0.500000,0.800000,5.000000,3,240,49,843,1310,Strengthened CPLEX MILP,6,6.000000,1,185,0.479260,50,600.000000,1
50,0.500000,0.800000,5.000000,4,250,50,863,1130,Strengthened CPLEX MILP,11,11.000000,1,87636,70.906700,50,600.000000,1
50,0.500000,0.800000,5.000000,5,235,50,805,1238,Strengthened CPLEX MILP,7,6.000000,0,270746,599.983412,50,600.000000,1
50,0.500000,0.800000,5.000000,6,250,50,793,1308,Strengthened CPLEX MILP,11,11.000000,1,495,0.821053,50,600.000000,1
50,0.500000,0.800000,5.000000,7,250,50,920,1233,Strengthened CPLEX MILP,8,8.000000,1,189,0.656806,50,600.000000,1
50,0.500000,0.800000,5.000000,8,245,50,800,1332,Strengthened CPLEX MILP,12,12.000000,1,7086,24.786801,50,600.000000,1
50,0.500000,0.800000,5.000000,9,250,49,704,1368,Strengthened CPLEX MILP,8,8.000000,1,2129,2.203060,50,600.000000,1
50,0.600000,0.800000,3.000000,0,144,49,798,1448,Strengthened CPLEX MILP,23,23.000000,1,2126,1.554773,50,600.000000,1
