n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available
50,0.500000,0.800000,3.000000,0,150,50,835,1283,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.076215,12,600.000000,1
50,0.500000,0.800000,3.000000,1,144,50,896,1458,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,13479,10.815013,11,600.000000,1
50,0.500000,0.800000,3.000000,2,150,49,823,1094,Strengthened CPLEX MILP heuristic-start,4,4.000000,1,0,0.067374,4,600.000000,1
50,0.500000,0.800000,3.000000,3,150,49,911,1251,Strengthened CPLEX MILP heuristic-start,6,6.000000,1,3863,4.509984,7,600.000000,1
50,0.500000,0.800000,3.000000,4,138,49,754,1265,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.067226,14,600.000000,1
50,0.500000,0.800000,3.000000,5,150,50,594,1391,Strengthened CPLEX MILP heuristic-start,7,7.000000,1,0,0.067689,7,600.000000,1
50,0.500000,0.800000,3.000000,6,150,50,727,1359,Strengthened CPLEX MILP heuristic-start,8,8.000000,1,0,0.068488,8,600.000000,1
50,0.500000,0.800000,3.000000,7,144,49,772,1256,Strengthened CPLEX MILP heuristic-start,10,10.000000,1,0,0.069146,10,600.000000,1
50,0.500000,0.800000,3.000000,8,147,49,776,1291,Strengthened CPLEX MILP heuristic-start,10,10.000000,1,0,0.068646,10,600.000000,1
50,0.500000,0.800000,3.000000,9,147,50,866,1268,Strengthened CPLEX MILP heuristic-start,18,18.000000,1,100021,64.519496,19,600.000000,1
50,0.500000,0.800000,5.000000,0,245,50,936,1165,Strengthened CPLEX MILP heuristic-start,5,5.000000,1,31952,24.477869,6,600.000000,1
50,0.500000,0.800000,5.000000,1,250,49,752,1279,Strengthened CPLEX MILP heuristic-start,8,8.000000,1,0,0.061740,8,600.000000,1
50,0.500000,0.800000,5.000000,2,245,50,722,1225,Strengthened CPLEX MILP heuristic-start,7,7.000000,1,8719,23.539551,8,600.000000,1
50,0.500000,0.800000,5.000000,3,240,49,843,1310,Strengthened CPLEX MILP heuristic-start,6,6.000000,1,0,0.070266,6,600.000000,1
50,0.500000,0.800000,5.000000,4,250,50,863,1130,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,1784,4.245301,11,600.000000,1
50,0.500000,0.800000,5.000000,5,235,50,805,1238,Strengthened CPLEX MILP heuristic-start,7,7.000000,1,26276,84.960182,7,600.000000,1
50,0.500000,0.800000,5.000000,6,250,50,793,1308,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,0,0.076095,11,600.000000,1
50,0.500000,0.800000,5.000000,7,250,50,920,1233,Strengthened CPLEX MILP heuristic-start,8,8.000000,1,0,0.068588,8,600.000000,1
50,0.500000,0.800000,5.000000,8,245,50,800,1332,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,2418,3.782337,12,600.000000,1
50,0.500000,0.800000,5.000000,9,250,49,704,1368,Strengthened CPLEX MILP heuristic-start,8,8.000000,1,0,0.066292,8,600.000000,1
50,0.600000,0.800000,3.000000,0,144,49,798,1448,Strengthened CPLEX MILP heuristic-start,23,23.000000,1,0,0.067940,23,600.000000,1
50,0.600000,0.800000,3.000000,1,147,48,924,1448,Strengthened CPLEX MILP heuristic-start,27,27.000000,1,2129,2.396923,28,600.000000,1
50,0.600000,0.800000,3.000000,2,150,49,844,1311,Strengthened CPLEX MILP heuristic-start,49,49.000000,1,0,0.075545,49,600.000000,1
50,0.600000,0.800000,3.000000,3,147,48,881,1188,Strengthened CPLEX MILP heuristic-start,35,35.000000,1,2734,5.671570,37,600.000000,1
50,0.600000,0.800000,3.000000,4,144,50,883,1223,Strengthened CPLEX MILP heuristic-start,10,10.000000,1,0,0.057155,10,600.000000,1
50,0.600000,0.800000,3.000000,5,147,49,801,1318,Strengthened CPLEX MILP heuristic-start,47,47.000000,1,1055,2.022860,49,600.000000,1
50,0.600000,0.800000,3.000000,6,150,49,833,1062,Strengthened CPLEX MILP heuristic-start,28,28.000000,1,4305,13.664895,30,600.000000,1
50,0.600000,0.800000,3.000000,7,144,49,904,1158,Strengthened CPLEX MILP heuristic-start,19,19.000000,1,11812,22.155441,19,600.000000,1
50,0.600000,0.800000,3.000000,8,144,50,798,1326,Strengthened CPLEX MILP heuristic-start,35,35.000000,1,6701,11.463738,38,600.000000,1
50,0.600000,0.800000,3.000000,9,150,49,747,1205,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,2527,4.726188,17,600.000000,1
50,0.600000,0.800000,5.000000,0,250,50,872,1187,Strengthened CPLEX MILP heuristic-start,24,24.000000,1,1817,4.494437,26,600.000000,1
50,0.600000,0.800000,5.000000,1,230,47,827,1142,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,213289,230.084754,17,600.000000,1
50,0.600000,0.800000,5.000000,2,250,49,868,1352,Strengthened CPLEX MILP heuristic-start,19,19.000000,1,36734,136.170904,20,600.000000,1
50,0.600000,0.800000,5.000000,3,250,49,878,1343,Strengthened CPLEX MILP heuristic-start,20,20.000000,1,18034,26.866429,20,600.000000,1
50,0.600000,0.800000,5.000000,4,250,48,825,1181,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,883,2.234430,17,600.000000,1
50,0.600000,0.800000,5.000000,5,250,50,779,1450,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,1861,3.769581,18,600.000000,1
50,0.600000,0.800000,5.000000,6,250,50,753,1353,Strengthened CPLEX MILP heuristic-start,32,32.000000,1,2190,3.037279,33,600.000000,1
50,0.600000,0.800000,5.000000,7,250,50,765,1280,Strengthened CPLEX MILP heuristic-start,26,26.000000,1,463112,441.516583,27,600.000000,1
50,0.600000,0.800000,5.000000,8,250,48,886,1381,Strengthened CPLEX MILP heuristic-start,34,34.000000,1,1572,4.595735,35,600.000000,1
50,0.600000,0.800000,5.000000,9,250,49,863,1148,Strengthened CPLEX MILP heuristic-start,20,20.000000,1,485,3.884032,20,600.000000,1
100,0.500000,0.800000,3.000000,0,147,96,1697,2758,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,85439,377.062846,13,600.000000,1
100,0.500000,0.800000,3.000000,1,150,98,1509,2626,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,8577,101.667088,13,600.000000,1
100,0.500000,0.800000,3.000000,2,150,98,1471,2515,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.200116,13,600.000000,1
100,0.500000,0.800000,3.000000,3,150,96,1614,2609,Strengthened CPLEX MILP heuristic-start,11,10.000000,0,156706,600.023824,12,600.000000,1
100,0.500000,0.800000,3.000000,4,147,99,1613,2707,Strengthened CPLEX MILP heuristic-start,18,17.000000,0,53525,600.028852,18,600.000000,1
100,0.500000,0.800000,3.000000,5,150,97,1657,2640,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.267312,13,600.000000,1
100,0.500000,0.800000,3.000000,6,150,95,1592,2800,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,60485,541.515864,12,600.000000,1
100,0.500000,0.800000,3.000000,7,144,96,1567,2528,Strengthened CPLEX MILP heuristic-start,14,13.000000,0,76947,600.024228,14,600.000000,1
100,0.500000,0.800000,3.000000,8,150,95,1463,2599,Strengthened CPLEX MILP heuristic-start,9,9.000000,1,2090,41.256793,9,600.000000,1
100,0.500000,0.800000,3.000000,9,150,96,1579,2458,Strengthened CPLEX MILP heuristic-start,13,12.000000,0,215253,600.046075,13,600.000000,1
100,0.500000,0.800000,5.000000,0,250,92,1572,2518,Strengthened CPLEX MILP heuristic-start,18,17.000000,0,33988,600.023593,19,600.000000,1
100,0.500000,0.800000,5.000000,1,250,99,1476,2590,Strengthened CPLEX MILP heuristic-start,14,13.000000,0,66814,600.024253,14,600.000000,1
100,0.500000,0.800000,5.000000,2,250,95,1675,2710,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.211844,15,600.000000,1
100,0.500000,0.800000,5.000000,3,250,93,1451,2857,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,57325,388.774988,12,600.000000,1
100,0.500000,0.800000,5.000000,4,250,97,1731,2663,Strengthened CPLEX MILP heuristic-start,23,23.000000,1,20331,104.508076,24,600.000000,1
100,0.500000,0.800000,5.000000,5,250,95,1612,2505,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,15745,189.418624,19,600.000000,1
100,0.500000,0.800000,5.000000,6,245,96,1689,2726,Strengthened CPLEX MILP heuristic-start,21,21.000000,1,0,0.210221,21,600.000000,1
100,0.500000,0.800000,5.000000,7,250,97,1621,2408,Strengthened CPLEX MILP heuristic-start,10,10.000000,1,29919,118.829196,11,600.000000,1
