n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
100,0.500000,0.400000,2.000000,0,100,94,1576,2692,GRASP-PR heuristic,25,25.000000,1,123530,2.699992,27,30.000000,1,31,4578.000000,3002.000000,0.868387
100,0.500000,0.400000,2.000000,1,100,96,1480,2515,GRASP-PR heuristic,30,30.000000,1,1090,0.033419,31,30.000000,1,29,4285.000000,2805.000000,0.867241
100,0.500000,0.400000,2.000000,2,100,95,1683,2639,GRASP-PR heuristic,37,36.000000,0,684328,15.055921,37,30.000000,1,29,4612.000000,2929.000000,0.910000
100,0.500000,0.400000,2.000000,3,100,97,1639,2733,GRASP-PR heuristic,33,33.000000,1,1090,0.033747,34,30.000000,1,33,4702.000000,3063.000000,0.828182
100,0.500000,0.400000,2.000000,4,98,98,1601,2654,GRASP-PR heuristic,29,29.000000,1,20144,0.449344,30,30.000000,1,31,4565.000000,2964.000000,0.873601
100,0.500000,0.400000,2.000000,5,100,97,1582,2717,GRASP-PR heuristic,32,32.000000,1,0,0.009529,32,30.000000,1,32,4619.000000,3037.000000,0.849063
100,0.500000,0.400000,2.000000,6,100,96,1515,2505,GRASP-PR heuristic,28,28.000000,1,287559,6.262540,29,30.000000,1,29,4310.000000,2795.000000,0.863793
100,0.500000,0.400000,2.000000,7,100,97,1648,2548,GRASP-PR heuristic,31,30.000000,0,686228,15.061922,31,30.000000,1,28,4476.000000,2828.000000,0.910000
100,0.500000,0.400000,2.000000,8,98,96,1657,2540,GRASP-PR heuristic,31,31.000000,1,0,0.009067,31,30.000000,1,30,4497.000000,2840.000000,0.863946
100,0.500000,0.400000,2.000000,9,100,98,1475,2435,GRASP-PR heuristic,32,32.000000,1,0,0.008635,32,30.000000,1,28,4190.000000,2715.000000,0.869643
100,0.500000,0.400000,2.000000,10,98,97,1499,2612,GRASP-PR heuristic,30,30.000000,1,51398,1.137454,31,30.000000,1,30,4411.000000,2912.000000,0.888435
100,0.500000,0.400000,2.000000,11,100,95,1637,2454,GRASP-PR heuristic,32,31.000000,0,679784,15.013589,32,30.000000,1,27,4361.000000,2724.000000,0.908889
100,0.500000,0.400000,2.000000,12,98,97,1555,2613,GRASP-PR heuristic,32,30.000000,0,686161,15.009832,32,30.000000,1,30,4468.000000,2913.000000,0.888776
100,0.500000,0.400000,2.000000,13,100,98,1605,2686,GRASP-PR heuristic,30,29.000000,0,688791,15.045219,30,30.000000,1,29,4581.000000,2976.000000,0.926207
100,0.500000,0.400000,2.000000,14,100,96,1529,2675,GRASP-PR heuristic,32,32.000000,1,23327,0.510386,33,30.000000,1,30,4504.000000,2975.000000,0.891667
100,0.500000,0.400000,2.000000,15,100,97,1657,2436,GRASP-PR heuristic,34,34.000000,1,0,0.008802,34,30.000000,1,30,4393.000000,2736.000000,0.812000
100,0.500000,0.400000,2.000000,16,100,94,1506,2635,GRASP-PR heuristic,29,29.000000,1,1090,0.032602,30,30.000000,1,30,4441.000000,2935.000000,0.878333
100,0.500000,0.400000,2.000000,17,100,98,1718,2800,GRASP-PR heuristic,30,30.000000,1,0,0.009801,30,30.000000,1,32,4838.000000,3120.000000,0.875000
100,0.500000,0.400000,2.000000,19,100,94,1553,2768,GRASP-PR heuristic,30,30.000000,1,0,0.009679,30,30.000000,1,33,4651.000000,3098.000000,0.838788
100,0.500000,0.400000,2.000000,20,100,96,1605,2797,GRASP-PR heuristic,32,32.000000,1,0,0.009808,32,30.000000,1,33,4732.000000,3127.000000,0.847576
100,0.500000,0.400000,2.500000,0,125,94,1576,2692,GRASP-PR heuristic,25,24.000000,0,679863,15.060500,25,30.000000,1,23,4498.000000,2922.000000,0.936348
100,0.500000,0.400000,2.500000,1,125,96,1480,2515,GRASP-PR heuristic,29,29.000000,1,1090,0.032922,30,30.000000,1,23,4225.000000,2745.000000,0.874783
100,0.500000,0.400000,2.500000,2,125,95,1683,2639,GRASP-PR heuristic,35,35.000000,1,1090,0.034232,36,30.000000,1,25,4572.000000,2889.000000,0.844480
100,0.500000,0.400000,2.500000,3,125,97,1639,2733,GRASP-PR heuristic,32,32.000000,1,1090,0.033564,33,30.000000,1,25,4622.000000,2983.000000,0.874560
100,0.500000,0.400000,2.500000,4,123,98,1601,2654,GRASP-PR heuristic,29,28.000000,0,663016,15.011940,29,30.000000,1,24,4495.000000,2894.000000,0.899051
100,0.500000,0.400000,2.500000,5,125,97,1582,2717,GRASP-PR heuristic,31,31.000000,1,51195,1.142303,32,30.000000,1,24,4539.000000,2957.000000,0.905667
100,0.500000,0.400000,2.500000,6,125,96,1515,2505,GRASP-PR heuristic,28,28.000000,1,0,0.008902,28,30.000000,1,24,4260.000000,2745.000000,0.835000
100,0.500000,0.400000,2.500000,7,125,97,1648,2548,GRASP-PR heuristic,30,29.000000,0,664850,15.021148,30,30.000000,1,22,4416.000000,2768.000000,0.926545
100,0.500000,0.400000,2.500000,8,123,96,1657,2540,GRASP-PR heuristic,31,30.000000,0,676707,15.076948,31,30.000000,1,22,4417.000000,2760.000000,0.938655
100,0.500000,0.400000,2.500000,9,125,98,1475,2435,GRASP-PR heuristic,31,31.000000,1,0,0.008766,31,30.000000,1,23,4140.000000,2665.000000,0.846957
100,0.500000,0.400000,2.500000,10,123,97,1499,2612,GRASP-PR heuristic,30,30.000000,1,0,0.009153,30,30.000000,1,25,4361.000000,2862.000000,0.849431
100,0.500000,0.400000,2.500000,11,125,95,1637,2454,GRASP-PR heuristic,31,31.000000,1,0,0.008746,31,30.000000,1,24,4331.000000,2694.000000,0.818000
100,0.500000,0.400000,2.500000,12,123,97,1555,2613,GRASP-PR heuristic,30,29.000000,0,658125,15.025619,30,30.000000,1,23,4398.000000,2843.000000,0.923648
100,0.500000,0.400000,2.500000,13,125,98,1605,2686,GRASP-PR heuristic,29,29.000000,1,0,0.009590,29,30.000000,1,27,4561.000000,2956.000000,0.795852
100,0.500000,0.400000,2.500000,14,125,96,1529,2675,GRASP-PR heuristic,32,32.000000,1,0,0.009463,32,30.000000,1,26,4464.000000,2935.000000,0.823077
100,0.500000,0.400000,2.500000,15,125,97,1657,2436,GRASP-PR heuristic,33,33.000000,1,1090,0.033709,34,30.000000,1,22,4313.000000,2656.000000,0.885818
100,0.500000,0.400000,2.500000,16,125,94,1506,2635,GRASP-PR heuristic,29,29.000000,1,0,0.009419,29,30.000000,1,26,4401.000000,2895.000000,0.810769
100,0.500000,0.400000,2.500000,17,125,98,1718,2800,GRASP-PR heuristic,29,29.000000,1,33383,0.745758,30,30.000000,1,27,4788.000000,3070.000000,0.829630
100,0.500000,0.400000,2.500000,19,125,94,1553,2768,GRASP-PR heuristic,29,29.000000,1,0,0.009974,29,30.000000,1,27,4591.000000,3038.000000,0.820148
100,0.500000,0.400000,2.500000,20,125,96,1605,2797,GRASP-PR heuristic,32,31.000000,0,683237,15.092206,32,30.000000,1,25,4652.000000,3047.000000,0.895040
100,0.500000,0.400000,3.000000,0,150,94,1576,2692,GRASP-PR heuristic,24,24.000000,1,0,0.009730,24,30.000000,1,21,4478.000000,2902.000000,0.854603
100,0.500000,0.400000,3.000000,1,150,96,1480,2515,GRASP-PR heuristic,29,28.000000,0,645601,15.043619,29,30.000000,1,18,4175.000000,2695.000000,0.931481
100,0.500000,0.400000,3.000000,2,150,95,1683,2639,GRASP-PR heuristic,34,34.000000,1,508565,12.003248,35,30.000000,1,20,4522.000000,2839.000000,0.879667
100,0.500000,0.400000,3.000000,3,150,97,1639,2733,GRASP-PR heuristic,32,31.000000,0,655326,15.047542,32,30.000000,1,20,4572.000000,2933.000000,0.911000
100,0.500000,0.400000,3.000000,4,147,98,1601,2654,GRASP-PR heuristic,28,28.000000,1,0,0.009807,28,30.000000,1,20,4455.000000,2854.000000,0.902721
100,0.500000,0.400000,3.000000,5,150,97,1582,2717,GRASP-PR heuristic,31,31.000000,1,0,0.009770,31,30.000000,1,22,4519.000000,2937.000000,0.823333
100,0.500000,0.400000,3.000000,6,150,96,1515,2505,GRASP-PR heuristic,27,27.000000,1,93642,2.163593,28,30.000000,1,18,4200.000000,2685.000000,0.927778
100,0.500000,0.400000,3.000000,7,150,97,1648,2548,GRASP-PR heuristic,29,29.000000,1,0,0.009378,29,30.000000,1,20,4396.000000,2748.000000,0.849333
