n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
50,0.500000,0.400000,2.000000,0,100,48,814,1289,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,5090,5.058874,17,600.000000,1,23,2333.000000,1519.000000,0.560435
50,0.500000,0.400000,2.000000,1,100,47,859,1096,"Strengthened CPLEX MILP heuristic-start",13,13.000000,1,0,0.051706,13,600.000000,1,14,2095.000000,1236.000000,0.782857
50,0.500000,0.400000,2.000000,2,100,49,916,1281,"Strengthened CPLEX MILP heuristic-start",13,13.000000,1,0,0.062080,13,600.000000,1,15,2347.000000,1431.000000,0.854000
50,0.500000,0.400000,2.000000,3,98,49,741,1482,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,2000,1.704203,17,600.000000,1,24,2463.000000,1722.000000,0.630102
50,0.500000,0.400000,2.000000,4,100,49,756,1285,"Strengthened CPLEX MILP heuristic-start",18,18.000000,1,0,0.045225,18,600.000000,1,16,2201.000000,1445.000000,0.803125
50,0.500000,0.400000,2.000000,5,100,49,849,1440,"Strengthened CPLEX MILP heuristic-start",19,19.000000,1,0,0.062059,19,600.000000,1,17,2459.000000,1610.000000,0.847059
50,0.500000,0.400000,2.000000,6,100,49,855,1331,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,1418,1.495000,16,600.000000,1,18,2366.000000,1511.000000,0.739444
50,0.500000,0.400000,2.000000,7,100,49,898,1433,"Strengthened CPLEX MILP heuristic-start",17,17.000000,1,0,0.043813,17,600.000000,1,17,2501.000000,1603.000000,0.842941
50,0.500000,0.400000,2.000000,8,98,50,847,1387,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,2721,3.564710,16,600.000000,1,23,2464.000000,1617.000000,0.615350
50,0.500000,0.400000,2.000000,9,96,50,838,1203,"Strengthened CPLEX MILP heuristic-start",17,17.000000,1,0,0.048627,17,600.000000,1,15,2191.000000,1353.000000,0.835417
50,0.500000,0.400000,2.000000,10,98,49,882,1271,"Strengthened CPLEX MILP heuristic-start",14,14.000000,1,0,0.064064,14,600.000000,1,15,2303.000000,1421.000000,0.864626
50,0.500000,0.400000,2.000000,11,98,49,787,1223,"Strengthened CPLEX MILP heuristic-start",14,14.000000,1,0,0.060464,14,600.000000,1,16,2170.000000,1383.000000,0.779974
50,0.500000,0.400000,2.000000,12,100,48,829,1264,"Strengthened CPLEX MILP heuristic-start",18,18.000000,1,0,0.050286,18,600.000000,1,15,2243.000000,1414.000000,0.842667
50,0.500000,0.400000,2.000000,13,100,50,794,1225,"Strengthened CPLEX MILP heuristic-start",17,17.000000,1,0,0.045160,17,600.000000,1,15,2169.000000,1375.000000,0.816667
50,0.500000,0.400000,2.000000,14,94,49,742,1203,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.058528,15,600.000000,1,16,2105.000000,1363.000000,0.799867
50,0.500000,0.400000,2.000000,15,100,48,815,1298,"Strengthened CPLEX MILP heuristic-start",17,17.000000,1,321,0.774331,18,600.000000,1,20,2313.000000,1498.000000,0.649000
50,0.500000,0.400000,2.000000,16,100,49,801,1406,"Strengthened CPLEX MILP heuristic-start",17,17.000000,1,0,0.063944,17,600.000000,1,17,2377.000000,1576.000000,0.827059
50,0.500000,0.400000,2.000000,17,100,50,739,1260,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,0,0.047492,16,600.000000,1,16,2159.000000,1420.000000,0.787500
50,0.500000,0.400000,2.000000,18,100,49,798,1405,"Strengthened CPLEX MILP heuristic-start",17,16.000000,0,378071,600.065986,17,600.000000,1,17,2373.000000,1575.000000,0.826471
50,0.500000,0.400000,2.000000,19,100,50,796,1263,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.061157,15,600.000000,1,16,2219.000000,1423.000000,0.789375
50,0.500000,0.400000,2.000000,20,98,49,737,1446,"Strengthened CPLEX MILP heuristic-start",19,19.000000,1,0,0.047856,19,600.000000,1,19,2373.000000,1636.000000,0.776584
