n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization,rho,alpha,beta,pe_correlation,size_label,correlation_label
50,0.500000,0.400000,4.000000,0,200,40,814,1289,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.067207,12,600.000000,1,8,2183.000000,1369.000000,0.805625,-1.000000,10.000000,1.000000,positive,exact,positive
50,0.500000,0.400000,4.000000,1,200,43,859,1096,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,0,0.060439,11,600.000000,1,7,2025.000000,1166.000000,0.782857,-1.000000,10.000000,1.000000,positive,exact,positive
50,0.500000,0.400000,4.000000,2,200,38,916,1281,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,0,0.074203,11,600.000000,1,8,2277.000000,1361.000000,0.800625,-1.000000,10.000000,1.000000,positive,exact,positive
50,0.500000,0.400000,4.000000,3,196,37,741,1482,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.052743,14,600.000000,1,9,2313.000000,1572.000000,0.840136,-1.000000,10.000000,1.000000,positive,exact,positive
50,0.500000,0.400000,4.000000,4,200,42,756,1285,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.071939,14,600.000000,1,8,2121.000000,1365.000000,0.803125,-1.000000,10.000000,1.000000,positive,exact,positive
50,0.500000,0.400000,4.000000,5,200,40,849,1440,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.074663,15,600.000000,1,9,2379.000000,1530.000000,0.800000,-1.000000,10.000000,1.000000,positive,exact,positive
50,0.500000,0.400000,4.000000,6,200,39,855,1331,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.071138,13,600.000000,1,7,2256.000000,1401.000000,0.950714,-1.000000,10.000000,1.000000,positive,exact,positive
50,0.500000,0.400000,4.000000,7,200,40,898,1433,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.053276,14,600.000000,1,9,2421.000000,1523.000000,0.796111,-1.000000,10.000000,1.000000,positive,exact,positive
50,0.500000,0.400000,4.000000,8,196,45,847,1387,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.077594,13,600.000000,1,8,2314.000000,1467.000000,0.884566,-1.000000,10.000000,1.000000,positive,exact,positive
50,0.500000,0.400000,4.000000,9,192,42,838,1203,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.078772,13,600.000000,1,7,2111.000000,1273.000000,0.895089,-1.000000,10.000000,1.000000,positive,exact,positive
50,0.500000,0.400000,4.000000,10,196,43,882,1271,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,0,0.072717,11,600.000000,1,8,2233.000000,1351.000000,0.810587,-1.000000,10.000000,1.000000,positive,exact,positive
50,0.500000,0.400000,4.000000,11,196,40,787,1223,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.061899,12,600.000000,1,7,2080.000000,1293.000000,0.891399,-1.000000,10.000000,1.000000,positive,exact,positive
