n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization,rho,alpha,beta,policy
40,0.500000,0.400000,3.000000,0,150,40,508,1156,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,606,0.981145,14,180.000000,1,11,2570.500000,2062.500000,0.700606,0.200000,37.500000,1.000000,full
40,0.500000,0.400000,3.000000,0,150,40,508,1156,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.056360,13,180.000000,1,10,2039.000000,1531.000000,0.770667,0.200000,37.500000,1.000000,partial
40,0.500000,0.400000,3.000000,1,147,40,580,1036,Full-recharge strengthened CPLEX MILP heuristic-start,12,12.000000,1,1695,3.851479,16,180.000000,1,10,2417.500000,1837.500000,0.704762,0.200000,36.750000,1.000000,full
40,0.500000,0.400000,3.000000,1,147,40,580,1036,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,2096,1.294365,13,180.000000,1,13,2093.750000,1513.750000,0.542125,0.200000,36.750000,1.000000,partial
40,0.500000,0.400000,3.000000,2,150,40,726,1078,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,248,0.306634,15,180.000000,1,10,2601.000000,1875.000000,0.718667,0.200000,37.500000,1.000000,full
40,0.500000,0.400000,3.000000,2,150,40,726,1078,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.044797,13,180.000000,1,9,2141.500000,1415.500000,0.798519,0.200000,37.500000,1.000000,partial
40,0.500000,0.400000,3.000000,3,150,40,621,955,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,1294,2.547825,15,180.000000,1,8,2121.000000,1500.000000,0.795833,0.200000,37.500000,1.000000,full
40,0.500000,0.400000,3.000000,3,150,40,621,955,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.042514,13,180.000000,1,8,1876.000000,1255.000000,0.795833,0.200000,37.500000,1.000000,partial
40,0.500000,0.400000,3.000000,4,147,39,652,1008,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,13961,38.943921,16,180.000000,1,10,2489.500000,1837.500000,0.685714,0.200000,36.750000,1.000000,full
40,0.500000,0.400000,3.000000,4,147,39,652,1008,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.057978,13,180.000000,1,8,1954.000000,1302.000000,0.857143,0.200000,36.750000,1.000000,partial
40,0.500000,0.400000,3.000000,5,144,39,619,1150,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,20484,32.243682,16,180.000000,1,11,2599.000000,1980.000000,0.726010,0.200000,36.000000,1.000000,full
40,0.500000,0.400000,3.000000,5,144,39,619,1150,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,2632,0.835678,15,180.000000,1,11,2165.000000,1546.000000,0.726010,0.200000,36.000000,1.000000,partial
40,0.500000,0.400000,3.000000,6,144,40,580,1047,Full-recharge strengthened CPLEX MILP heuristic-start,15,15.000000,1,110,0.323700,17,180.000000,1,10,2380.000000,1800.000000,0.727083,0.200000,36.000000,1.000000,full
40,0.500000,0.400000,3.000000,6,144,40,580,1047,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.050017,15,180.000000,1,9,1951.000000,1371.000000,0.807870,0.200000,36.000000,1.000000,partial
40,0.500000,0.400000,3.000000,7,147,39,627,1029,Full-recharge strengthened CPLEX MILP heuristic-start,15,15.000000,1,1740,2.197540,17,180.000000,1,9,2280.750000,1653.750000,0.777778,0.200000,36.750000,1.000000,full
40,0.500000,0.400000,3.000000,7,147,39,627,1029,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,1053,0.705117,16,180.000000,1,12,2097.000000,1470.000000,0.583333,0.200000,36.750000,1.000000,partial
40,0.500000,0.400000,3.000000,8,147,39,624,1156,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,31379,89.168119,15,180.000000,1,10,2461.500000,1837.500000,0.786395,0.200000,36.750000,1.000000,full
40,0.500000,0.400000,3.000000,8,147,39,624,1156,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.051669,13,180.000000,1,9,2110.750000,1486.750000,0.873772,0.200000,36.750000,1.000000,partial
40,0.500000,0.400000,3.000000,9,150,40,669,1026,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,10205,30.926805,15,180.000000,1,10,2544.000000,1875.000000,0.684000,0.200000,37.500000,1.000000,full
40,0.500000,0.400000,3.000000,9,150,40,669,1026,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.049623,12,180.000000,1,8,1995.000000,1326.000000,0.855000,0.200000,37.500000,1.000000,partial
40,0.500000,0.400000,3.000000,10,150,40,644,1035,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,9599,27.077426,16,180.000000,1,9,2331.500000,1687.500000,0.766667,0.200000,37.500000,1.000000,full
40,0.500000,0.400000,3.000000,10,150,40,644,1035,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,2201,1.832821,13,180.000000,1,12,2129.000000,1485.000000,0.575000,0.200000,37.500000,1.000000,partial
40,0.500000,0.400000,3.000000,11,147,40,659,1158,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,8596,16.621891,16,180.000000,1,10,2496.500000,1837.500000,0.787755,0.200000,36.750000,1.000000,full
40,0.500000,0.400000,3.000000,11,147,40,659,1158,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,18723,14.607547,14,180.000000,1,10,2184.500000,1525.500000,0.787755,0.200000,36.750000,1.000000,partial
40,0.500000,0.400000,3.000000,12,150,40,647,1146,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,544,1.060690,17,180.000000,1,9,2334.500000,1687.500000,0.848889,0.200000,37.500000,1.000000,full
40,0.500000,0.400000,3.000000,12,150,40,647,1146,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.044412,13,180.000000,1,10,2168.000000,1521.000000,0.764000,0.200000,37.500000,1.000000,partial
40,0.500000,0.400000,3.000000,13,147,40,539,1059,Full-recharge strengthened CPLEX MILP heuristic-start,13,12.000000,0,146647,179.973467,16,180.000000,1,9,2192.750000,1653.750000,0.800454,0.200000,36.750000,1.000000,full
40,0.500000,0.400000,3.000000,13,147,40,539,1059,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,2735,1.596601,13,180.000000,1,11,2002.250000,1463.250000,0.654917,0.200000,36.750000,1.000000,partial
40,0.500000,0.400000,3.000000,14,150,40,642,1002,Full-recharge strengthened CPLEX MILP heuristic-start,16,16.000000,1,23421,21.937832,19,180.000000,1,9,2329.500000,1687.500000,0.742222,0.200000,37.500000,1.000000,full
40,0.500000,0.400000,3.000000,14,150,40,642,1002,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,103,0.292292,14,180.000000,1,9,1981.500000,1339.500000,0.742222,0.200000,37.500000,1.000000,partial
40,0.500000,0.400000,3.000000,15,150,38,710,1147,Full-recharge strengthened CPLEX MILP heuristic-start,15,14.000000,0,175174,179.985066,17,180.000000,1,12,2960.000000,2250.000000,0.637222,0.200000,37.500000,1.000000,full
40,0.500000,0.400000,3.000000,15,150,38,710,1147,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.042580,14,180.000000,1,9,2194.500000,1484.500000,0.849630,0.200000,37.500000,1.000000,partial
40,0.500000,0.400000,3.000000,16,141,40,608,963,Full-recharge strengthened CPLEX MILP heuristic-start,16,16.000000,1,186357,145.190050,17,180.000000,1,8,2018.000000,1410.000000,0.853723,0.200000,35.250000,1.000000,full
40,0.500000,0.400000,3.000000,16,141,40,608,963,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.042354,14,180.000000,1,8,1853.000000,1245.000000,0.853723,0.200000,35.250000,1.000000,partial
40,0.500000,0.400000,3.000000,17,150,40,537,980,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,955,2.594869,18,180.000000,1,8,2037.000000,1500.000000,0.816667,0.200000,37.500000,1.000000,full
40,0.500000,0.400000,3.000000,17,150,40,537,980,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,2101,0.919950,15,180.000000,1,9,1854.500000,1317.500000,0.725926,0.200000,37.500000,1.000000,partial
40,0.500000,0.400000,3.000000,18,150,39,643,1063,Full-recharge strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.062227,12,180.000000,1,8,2143.000000,1500.000000,0.885833,0.200000,37.500000,1.000000,full
40,0.500000,0.400000,3.000000,18,150,39,643,1063,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.050480,12,180.000000,1,8,2006.000000,1363.000000,0.885833,0.200000,37.500000,1.000000,partial
40,0.500000,0.400000,3.000000,19,147,39,612,1028,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,39848,59.156242,15,180.000000,1,9,2265.750000,1653.750000,0.777022,0.200000,36.750000,1.000000,full
40,0.500000,0.400000,3.000000,19,147,39,612,1028,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.047709,13,180.000000,1,9,1970.750000,1358.750000,0.777022,0.200000,36.750000,1.000000,partial
40,0.500000,0.400000,3.000000,0,150,40,508,1156,Full-recharge strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.060169,17,180.000000,1,9,3883.000000,3375.000000,0.856296,0.600000,225.000000,1.000000,full
40,0.500000,0.400000,3.000000,0,150,40,508,1156,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.057235,17,180.000000,1,9,3689.000000,3181.000000,0.856296,0.600000,225.000000,1.000000,partial
40,0.500000,0.400000,3.000000,1,147,40,580,1036,Full-recharge strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.065088,16,180.000000,1,8,3520.000000,2940.000000,0.880952,0.600000,220.500000,1.000000,full
