n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
100,0.500000,0.400000,2.000000,0,100,94,1576,2692,"GRASP-PR full-recharge heuristic",27,25.000000,0,650800,15.073493,36,30.000000,1,29,4766.000000,3190.000000,0.928276
100,0.500000,0.400000,2.000000,1,100,96,1480,2515,"GRASP-PR full-recharge heuristic",31,30.000000,0,657194,15.068002,36,30.000000,1,28,4560.000000,3080.000000,0.898214
100,0.500000,0.400000,2.000000,2,100,95,1683,2639,"GRASP-PR full-recharge heuristic",38,36.000000,0,662217,15.019750,41,30.000000,1,29,4873.000000,3190.000000,0.910000
100,0.500000,0.400000,2.000000,3,100,97,1639,2733,"GRASP-PR full-recharge heuristic",36,33.000000,0,660184,15.045980,41,30.000000,1,30,4939.000000,3300.000000,0.911000
100,0.500000,0.400000,2.000000,4,98,98,1601,2654,"GRASP-PR full-recharge heuristic",31,29.000000,0,677077,15.090031,35,30.000000,1,30,4841.000000,3240.000000,0.902721
100,0.500000,0.400000,2.000000,5,100,97,1582,2717,"GRASP-PR full-recharge heuristic",34,32.000000,0,670893,15.016155,36,30.000000,1,30,4882.000000,3300.000000,0.905667
100,0.500000,0.400000,2.000000,6,100,96,1515,2505,"GRASP-PR full-recharge heuristic",30,28.000000,0,673990,15.047918,34,30.000000,1,27,4485.000000,2970.000000,0.927778
100,0.500000,0.400000,2.000000,7,100,97,1648,2548,"GRASP-PR full-recharge heuristic",32,30.000000,0,662846,15.066729,36,30.000000,1,28,4728.000000,3080.000000,0.910000
100,0.500000,0.400000,2.000000,8,98,96,1657,2540,"GRASP-PR full-recharge heuristic",32,31.000000,0,664311,15.030654,36,30.000000,1,28,4681.000000,3024.000000,0.925656
100,0.500000,0.400000,2.000000,9,100,98,1475,2435,"GRASP-PR full-recharge heuristic",33,32.000000,0,657732,15.098330,36,30.000000,1,27,4445.000000,2970.000000,0.901852
100,0.500000,0.400000,2.000000,10,98,97,1499,2612,"GRASP-PR full-recharge heuristic",33,30.000000,0,664291,15.041370,36,30.000000,1,29,4631.000000,3132.000000,0.919071
100,0.500000,0.400000,2.000000,11,100,95,1637,2454,"GRASP-PR full-recharge heuristic",33,31.000000,0,657132,15.049475,36,30.000000,1,27,4607.000000,2970.000000,0.908889
100,0.500000,0.400000,2.000000,12,98,97,1555,2613,"GRASP-PR full-recharge heuristic",35,30.000000,0,660534,15.072176,36,30.000000,1,30,4795.000000,3240.000000,0.888776
100,0.500000,0.400000,2.000000,13,100,98,1605,2686,"GRASP-PR full-recharge heuristic",31,29.000000,0,671823,15.124491,34,30.000000,1,29,4795.000000,3190.000000,0.926207
100,0.500000,0.400000,2.000000,14,100,96,1529,2675,"GRASP-PR full-recharge heuristic",34,32.000000,0,655087,15.060498,38,30.000000,1,29,4719.000000,3190.000000,0.922414
100,0.500000,0.400000,2.000000,15,100,97,1657,2436,"GRASP-PR full-recharge heuristic",35,34.000000,0,653968,15.051043,38,30.000000,1,26,4517.000000,2860.000000,0.936923
100,0.500000,0.400000,2.000000,16,100,94,1506,2635,"GRASP-PR full-recharge heuristic",31,29.000000,0,667278,15.068953,35,30.000000,1,29,4696.000000,3190.000000,0.908621
100,0.500000,0.400000,2.000000,17,100,98,1718,2800,"GRASP-PR full-recharge heuristic",31,30.000000,0,658464,15.009055,33,30.000000,1,30,5018.000000,3300.000000,0.933333
100,0.500000,0.400000,2.000000,18,98,96,1633,2608,"GRASP-PR full-recharge heuristic",30,28.000000,0,660988,15.025899,39,30.000000,1,29,4765.000000,3132.000000,0.917664
100,0.500000,0.400000,2.000000,19,100,94,1553,2768,"GRASP-PR full-recharge heuristic",32,30.000000,0,669146,15.067433,37,30.000000,1,30,4853.000000,3300.000000,0.922667
100,0.500000,0.400000,2.000000,20,100,96,1605,2797,"GRASP-PR full-recharge heuristic",33,32.000000,0,665468,15.045930,38,30.000000,1,30,4905.000000,3300.000000,0.932333
100,0.500000,0.400000,2.500000,0,125,94,1576,2692,"GRASP-PR full-recharge heuristic",27,24.000000,0,643228,15.013937,31,30.000000,1,23,4681.000000,3105.000000,0.936348
100,0.500000,0.400000,2.500000,1,125,96,1480,2515,"GRASP-PR full-recharge heuristic",31,29.000000,0,645146,15.012586,31,30.000000,1,21,4315.000000,2835.000000,0.958095
100,0.500000,0.400000,2.500000,2,125,95,1683,2639,"GRASP-PR full-recharge heuristic",38,35.000000,0,621651,15.075507,41,30.000000,1,23,4788.000000,3105.000000,0.917913
100,0.500000,0.400000,2.500000,3,125,97,1639,2733,"GRASP-PR full-recharge heuristic",33,32.000000,0,646754,15.076878,39,30.000000,1,23,4744.000000,3105.000000,0.950609
