n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
50,0.500000,0.400000,2.000000,0,100,48,814,1289,"GRASP-PR heuristic",16,16.000000,1,106206,1.100197,17,30.000000,1,15,2253.000000,1439.000000,0.859333
50,0.500000,0.400000,2.000000,1,100,47,859,1096,"GRASP-PR heuristic",13,13.000000,1,0,0.001291,13,30.000000,1,14,2095.000000,1236.000000,0.782857
50,0.500000,0.400000,2.000000,2,100,49,916,1281,"GRASP-PR heuristic",13,13.000000,1,0,0.001387,13,30.000000,1,15,2347.000000,1431.000000,0.854000
50,0.500000,0.400000,2.000000,3,98,49,741,1482,"GRASP-PR heuristic",16,16.000000,1,8457,0.086742,17,30.000000,1,17,2393.000000,1652.000000,0.889556
50,0.500000,0.400000,2.000000,4,100,49,756,1285,"GRASP-PR heuristic",18,18.000000,1,0,0.001457,18,30.000000,1,16,2201.000000,1445.000000,0.803125
50,0.500000,0.400000,2.000000,5,100,49,849,1440,"GRASP-PR heuristic",19,19.000000,1,0,0.001492,19,30.000000,1,17,2459.000000,1610.000000,0.847059
50,0.500000,0.400000,2.000000,6,100,49,855,1331,"GRASP-PR heuristic",15,15.000000,1,799690,8.116717,16,30.000000,1,15,2336.000000,1481.000000,0.887333
50,0.500000,0.400000,2.000000,7,100,49,898,1433,"GRASP-PR heuristic",17,17.000000,1,0,0.001557,17,30.000000,1,17,2501.000000,1603.000000,0.842941
50,0.500000,0.400000,2.000000,8,98,50,847,1387,"GRASP-PR heuristic",15,15.000000,1,441,0.005828,16,30.000000,1,17,2404.000000,1557.000000,0.832533
50,0.500000,0.400000,2.000000,9,96,50,838,1203,"GRASP-PR heuristic",17,17.000000,1,0,0.001326,17,30.000000,1,15,2191.000000,1353.000000,0.835417
50,0.500000,0.400000,2.000000,10,98,49,882,1271,"GRASP-PR heuristic",14,14.000000,1,0,0.001379,14,30.000000,1,15,2303.000000,1421.000000,0.864626
50,0.500000,0.400000,2.000000,11,98,49,787,1223,"GRASP-PR heuristic",14,14.000000,1,0,0.001342,14,30.000000,1,16,2170.000000,1383.000000,0.779974
50,0.500000,0.400000,2.000000,12,100,48,829,1264,"GRASP-PR heuristic",18,18.000000,1,0,0.001438,18,30.000000,1,15,2243.000000,1414.000000,0.842667
50,0.500000,0.400000,2.000000,13,100,50,794,1225,"GRASP-PR heuristic",17,17.000000,1,0,0.001371,17,30.000000,1,15,2169.000000,1375.000000,0.816667
50,0.500000,0.400000,2.000000,14,94,49,742,1203,"GRASP-PR heuristic",15,15.000000,1,0,0.001303,15,30.000000,1,16,2105.000000,1363.000000,0.799867
50,0.500000,0.400000,2.000000,15,100,48,815,1298,"GRASP-PR heuristic",17,17.000000,1,529,0.007072,18,30.000000,1,15,2263.000000,1448.000000,0.865333
50,0.500000,0.400000,2.000000,16,100,49,801,1406,"GRASP-PR heuristic",17,17.000000,1,0,0.001530,17,30.000000,1,17,2377.000000,1576.000000,0.827059
50,0.500000,0.400000,2.000000,17,100,50,739,1260,"GRASP-PR heuristic",16,16.000000,1,0,0.001382,16,30.000000,1,16,2159.000000,1420.000000,0.787500
